test_id,data_file,data_size,block_size,block_size_bytes,num_mappers,num_reducers,success,execution_time_sec,map_time_ms,reduce_time_ms,error
1,knn_6_1000.csv,1000,64MB,67108864,2,2,True,21.79,0,0,
2,knn_6_1000.csv,1000,64MB,67108864,2,4,True,28.28,0,0,
3,knn_6_1000.csv,1000,64MB,67108864,2,8,True,41.71,0,0,
4,knn_6_1000.csv,1000,64MB,67108864,4,2,True,21.63,0,0,
5,knn_6_1000.csv,1000,64MB,67108864,4,4,True,28.83,0,0,
6,knn_6_1000.csv,1000,64MB,67108864,4,8,True,38.95,0,0,
7,knn_6_1000.csv,1000,64MB,67108864,8,2,True,21.78,0,0,
8,knn_6_1000.csv,1000,64MB,67108864,8,4,True,28.79,0,0,
9,knn_6_1000.csv,1000,64MB,67108864,8,8,True,42.76,0,0,
10,knn_6_1000.csv,1000,128MB,134217728,2,2,True,21.6,0,0,
11,knn_6_1000.csv,1000,128MB,134217728,2,4,True,31.59,0,0,
12,knn_6_1000.csv,1000,128MB,134217728,2,8,True,40.66,0,0,
13,knn_6_1000.csv,1000,128MB,134217728,4,2,True,22.6,0,0,
14,knn_6_1000.csv,1000,128MB,134217728,4,4,True,28.63,0,0,
15,knn_6_1000.csv,1000,128MB,134217728,4,8,True,40.84,0,0,
16,knn_6_1000.csv,1000,128MB,134217728,8,2,True,22.64,0,0,
17,knn_6_1000.csv,1000,128MB,134217728,8,4,True,28.59,0,0,
18,knn_6_1000.csv,1000,128MB,134217728,8,8,True,40.72,0,0,
19,knn_6_1000.csv,1000,256MB,268435456,2,2,True,22.14,0,0,
20,knn_6_1000.csv,1000,256MB,268435456,2,4,True,27.58,0,0,
21,knn_6_1000.csv,1000,256MB,268435456,2,8,True,41.68,0,0,
22,knn_6_1000.csv,1000,256MB,268435456,4,2,True,21.69,0,0,
23,knn_6_1000.csv,1000,256MB,268435456,4,4,True,27.78,0,0,
24,knn_6_1000.csv,1000,256MB,268435456,4,8,True,41.74,0,0,
25,knn_6_1000.csv,1000,256MB,268435456,8,2,True,21.64,0,0,
26,knn_6_1000.csv,1000,256MB,268435456,8,4,True,27.59,0,0,
27,knn_6_1000.csv,1000,256MB,268435456,8,8,True,42.75,0,0,
28,knn_6_10000.csv,10000,64MB,67108864,2,2,True,23.54,0,0,
29,knn_6_10000.csv,10000,64MB,67108864,2,4,True,28.65,0,0,
30,knn_6_10000.csv,10000,64MB,67108864,2,8,True,40.85,0,0,
31,knn_6_10000.csv,10000,64MB,67108864,4,2,True,21.66,0,0,
32,knn_6_10000.csv,10000,64MB,67108864,4,4,True,27.62,0,0,
33,knn_6_10000.csv,10000,64MB,67108864,4,8,True,40.77,0,0,
34,knn_6_10000.csv,10000,64MB,67108864,8,2,True,20.62,0,0,
35,knn_6_10000.csv,10000,64MB,67108864,8,4,True,27.7,0,0,
36,knn_6_10000.csv,10000,64MB,67108864,8,8,True,41.65,0,0,
37,knn_6_10000.csv,10000,128MB,134217728,2,2,True,21.57,0,0,
38,knn_6_10000.csv,10000,128MB,134217728,2,4,True,28.61,0,0,
39,knn_6_10000.csv,10000,128MB,134217728,2,8,True,40.71,0,0,
40,knn_6_10000.csv,10000,128MB,134217728,4,2,True,21.98,0,0,
41,knn_6_10000.csv,10000,128MB,134217728,4,4,True,27.73,0,0,
42,knn_6_10000.csv,10000,128MB,134217728,4,8,True,40.76,0,0,
43,knn_6_10000.csv,10000,128MB,134217728,8,2,True,21.51,0,0,
44,knn_6_10000.csv,10000,128MB,134217728,8,4,True,28.74,0,0,
45,knn_6_10000.csv,10000,128MB,134217728,8,8,True,39.71,0,0,
46,knn_6_10000.csv,10000,256MB,268435456,2,2,True,22.64,0,0,
47,knn_6_10000.csv,10000,256MB,268435456,2,4,True,27.61,0,0,
48,knn_6_10000.csv,10000,256MB,268435456,2,8,True,41.75,0,0,
49,knn_6_10000.csv,10000,256MB,268435456,4,2,True,22.54,0,0,
50,knn_6_10000.csv,10000,256MB,268435456,4,4,True,29.68,0,0,
51,knn_6_10000.csv,10000,256MB,268435456,4,8,True,41.7,0,0,
52,knn_6_10000.csv,10000,256MB,268435456,8,2,True,21.03,0,0,
53,knn_6_10000.csv,10000,256MB,268435456,8,4,True,29.62,0,0,
54,knn_6_10000.csv,10000,256MB,268435456,8,8,True,42.75,0,0,
55,knn_6_50000.csv,50000,64MB,67108864,2,2,True,22.68,0,0,
56,knn_6_50000.csv,50000,64MB,67108864,2,4,True,29.65,0,0,
57,knn_6_50000.csv,50000,64MB,67108864,2,8,True,39.69,0,0,
58,knn_6_50000.csv,50000,64MB,67108864,4,2,True,21.55,0,0,
59,knn_6_50000.csv,50000,64MB,67108864,4,4,True,28.62,0,0,
60,knn_6_50000.csv,50000,64MB,67108864,4,8,True,41.67,0,0,
61,knn_6_50000.csv,50000,64MB,67108864,8,2,True,22.76,0,0,
62,knn_6_50000.csv,50000,64MB,67108864,8,4,True,29.69,0,0,
63,knn_6_50000.csv,50000,64MB,67108864,8,8,True,42.74,0,0,
64,knn_6_50000.csv,50000,128MB,134217728,2,2,True,21.61,0,0,
65,knn_6_50000.csv,50000,128MB,134217728,2,4,True,29.63,0,0,
66,knn_6_50000.csv,50000,128MB,134217728,2,8,True,39.7,0,0,
67,knn_6_50000.csv,50000,128MB,134217728,4,2,True,21.52,0,0,
68,knn_6_50000.csv,50000,128MB,134217728,4,4,True,28.59,0,0,
69,knn_6_50000.csv,50000,128MB,134217728,4,8,True,39.75,0,0,
70,knn_6_50000.csv,50000,128MB,134217728,8,2,True,20.69,0,0,
71,knn_6_50000.csv,50000,128MB,134217728,8,4,True,27.55,0,0,
72,knn_6_50000.csv,50000,128MB,134217728,8,8,True,41.7,0,0,
73,knn_6_50000.csv,50000,256MB,268435456,2,2,True,21.54,0,0,
74,knn_6_50000.csv,50000,256MB,268435456,2,4,True,27.54,0,0,
75,knn_6_50000.csv,50000,256MB,268435456,2,8,True,41.79,0,0,
76,knn_6_50000.csv,50000,256MB,268435456,4,2,True,22.58,0,0,
77,knn_6_50000.csv,50000,256MB,268435456,4,4,True,27.8,0,0,
78,knn_6_50000.csv,50000,256MB,268435456,4,8,True,39.77,0,0,
79,knn_6_50000.csv,50000,256MB,268435456,8,2,True,21.58,0,0,
80,knn_6_50000.csv,50000,256MB,268435456,8,4,True,28.68,0,0,
81,knn_6_50000.csv,50000,256MB,268435456,8,8,True,41.82,0,0,
82,knn_6_100000.csv,100000,64MB,67108864,2,2,True,21.57,0,0,
83,knn_6_100000.csv,100000,64MB,67108864,2,4,True,28.78,0,0,
84,knn_6_100000.csv,100000,64MB,67108864,2,8,True,40.73,0,0,
85,knn_6_100000.csv,100000,64MB,67108864,4,2,True,21.65,0,0,
86,knn_6_100000.csv,100000,64MB,67108864,4,4,True,27.59,0,0,
87,knn_6_100000.csv,100000,64MB,67108864,4,8,True,40.64,0,0,
88,knn_6_100000.csv,100000,64MB,67108864,8,2,True,21.59,0,0,
89,knn_6_100000.csv,100000,64MB,67108864,8,4,True,30.63,0,0,
90,knn_6_100000.csv,100000,64MB,67108864,8,8,True,42.65,0,0,
91,knn_6_100000.csv,100000,128MB,134217728,2,2,True,21.59,0,0,
92,knn_6_100000.csv,100000,128MB,134217728,2,4,True,28.69,0,0,
93,knn_6_100000.csv,100000,128MB,134217728,2,8,True,41.7,0,0,
94,knn_6_100000.csv,100000,128MB,134217728,4,2,True,21.58,0,0,
95,knn_6_100000.csv,100000,128MB,134217728,4,4,True,28.66,0,0,
96,knn_6_100000.csv,100000,128MB,134217728,4,8,True,41.77,0,0,
97,knn_6_100000.csv,100000,128MB,134217728,8,2,True,23.62,0,0,
98,knn_6_100000.csv,100000,128MB,134217728,8,4,True,27.64,0,0,
99,knn_6_100000.csv,100000,128MB,134217728,8,8,True,40.72,0,0,
100,knn_6_100000.csv,100000,256MB,268435456,2,2,True,21.63,0,0,
101,knn_6_100000.csv,100000,256MB,268435456,2,4,True,28.6,0,0,
102,knn_6_100000.csv,100000,256MB,268435456,2,8,True,39.67,0,0,
103,knn_6_100000.csv,100000,256MB,268435456,4,2,True,21.63,0,0,
104,knn_6_100000.csv,100000,256MB,268435456,4,4,True,27.63,0,0,
105,knn_6_100000.csv,100000,256MB,268435456,4,8,True,41.7,0,0,
106,knn_6_100000.csv,100000,256MB,268435456,8,2,True,21.57,0,0,
107,knn_6_100000.csv,100000,256MB,268435456,8,4,True,27.81,0,0,
108,knn_6_100000.csv,100000,256MB,268435456,8,8,True,39.72,0,0,
